f1_score;pct;utility_score;threshold;jaccard;minority_classes
0.3793;0.6;out_degree;1;0.8;[]
0.5846;0.6;betweenness;1;0.8;[]
0.4995;0.6;closeness;1;0.8;[]
0.5179;0.6;eigenvector;1;0.8;[]
0.3793;0.6;clustering_coeff;1;0.8;[]
0.6486;0.6;pagerank;1;0.8;[]
0.4225;0.6;hubs;1;0.8;[]
0.5846;0.6;authorities;1;0.8;[]
0.7979;0.6;max_clique;1;0.8;[]
0.6990;0.6;cliques_count;1;0.8;[]
0.5353;0.6;work_at_weekend;1;0.8;[]
0.5556;0.6;neighborhood_variability_sender;1;0.8;[]
0.4815;0.6;neighborhood_variability_recipient;1;0.8;[]
0.4995;0.6;neighborhood_variability_all;1;0.8;[]
0.5556;0.6;in_degree;1;0.9;[]
0.3793;0.6;out_degree;1;0.9;[]
0.5846;0.6;betweenness;1;0.9;[]
0.4995;0.6;closeness;1;0.9;[]
0.5179;0.6;eigenvector;1;0.9;[]
0.3793;0.6;clustering_coeff;1;0.9;[]
0.6486;0.6;pagerank;1;0.9;[]
0.4225;0.6;hubs;1;0.9;[]
0.5353;0.6;authorities;1;0.9;[]
0.7979;0.6;max_clique;1;0.9;[]
0.6990;0.6;cliques_count;1;0.9;[]
0.5353;0.6;work_at_weekend;1;0.9;[]
0.5556;0.6;neighborhood_variability_sender;1;0.9;[]
0.4815;0.6;neighborhood_variability_recipient;1;0.9;[]
0.4995;0.6;neighborhood_variability_all;1;0.9;[]
0.5556;0.6;in_degree;1;0.99;[]
0.3793;0.6;out_degree;1;0.99;[]
0.4995;0.6;betweenness;1;0.99;[]
0.4995;0.6;closeness;1;0.99;[]
0.5179;0.6;eigenvector;1;0.99;[]
0.3793;0.6;clustering_coeff;1;0.99;[]
0.6486;0.6;pagerank;1;0.99;[]
0.3793;0.6;hubs;1;0.99;[]
0.5353;0.6;authorities;1;0.99;[]
0.7979;0.6;max_clique;1;0.99;[]
0.6296;0.6;cliques_count;1;0.99;[]
0.3455;0.6;work_at_weekend;1;0.99;[]
0.5556;0.6;neighborhood_variability_sender;1;0.99;[]
0.4815;0.6;neighborhood_variability_recipient;1;0.99;[]
0.4995;0.6;neighborhood_variability_all;1;0.99;[]
0.4824;0.5;in_degree;1;0.7;[]
0.5152;0.5;out_degree;1;0.7;[]
0.6368;0.5;betweenness;1;0.7;[]
0.6174;0.5;closeness;1;0.7;[]
0.4966;0.5;eigenvector;1;0.7;[]
0.3803;0.5;clustering_coeff;1;0.7;[]
0.4997;0.5;pagerank;1;0.7;[]
0.4294;0.5;hubs;1;0.7;[]
0.5585;0.5;authorities;1;0.7;[]
0.5990;0.5;max_clique;1;0.7;[]
0.5152;0.5;cliques_count;1;0.7;[]
0.5152;0.5;work_at_weekend;1;0.7;[]
0.4824;0.5;neighborhood_variability_sender;1;0.7;[]
0.4294;0.5;neighborhood_variability_recipient;1;0.7;[]
0.4824;0.5;neighborhood_variability_all;1;0.7;[]
0.4824;0.5;in_degree;1;0.8;[]
0.5152;0.5;out_degree;1;0.8;[]
0.6368;0.5;betweenness;1;0.8;[]
0.5758;0.5;closeness;1;0.8;[]
0.4966;0.5;eigenvector;1;0.8;[]
0.3803;0.5;clustering_coeff;1;0.8;[]
0.4997;0.5;pagerank;1;0.8;[]
0.4294;0.5;hubs;1;0.8;[]
0.5585;0.5;authorities;1;0.8;[]
0.5990;0.5;max_clique;1;0.8;[]
0.5152;0.5;cliques_count;1;0.8;[]
0.5152;0.5;work_at_weekend;1;0.8;[]
0.4824;0.5;neighborhood_variability_sender;1;0.8;[]
0.4294;0.5;neighborhood_variability_recipient;1;0.8;[]
0.4824;0.5;neighborhood_variability_all;1;0.8;[]
0.4824;0.5;in_degree;1;0.9;[]
0.5152;0.5;out_degree;1;0.9;[]
0.6368;0.5;betweenness;1;0.9;[]
0.5758;0.5;closeness;1;0.9;[]
0.4966;0.5;eigenvector;1;0.9;[]
0.3803;0.5;clustering_coeff;1;0.9;[]
0.4997;0.5;pagerank;1;0.9;[]
0.4294;0.5;hubs;1;0.9;[]
0.5585;0.5;authorities;1;0.9;[]
0.5990;0.5;max_clique;1;0.9;[]
0.5152;0.5;cliques_count;1;0.9;[]
0.5152;0.5;work_at_weekend;1;0.9;[]
0.4824;0.5;neighborhood_variability_sender;1;0.9;[]
0.4294;0.5;neighborhood_variability_recipient;1;0.9;[]
0.4824;0.5;neighborhood_variability_all;1;0.9;[]
0.4824;0.5;in_degree;1;0.99;[]
0.3803;0.5;out_degree;1;0.99;[]
0.3803;0.5;betweenness;1;0.99;[]
0.5758;0.5;closeness;1;0.99;[]
0.4966;0.5;eigenvector;1;0.99;[]
0.3803;0.5;clustering_coeff;1;0.99;[]
0.4997;0.5;pagerank;1;0.99;[]
0.4294;0.5;hubs;1;0.99;[]
0.5152;0.5;authorities;1;0.99;[]
0.3803;0.5;max_clique;1;0.99;[]
0.3803;0.5;cliques_count;1;0.99;[]
0.4545;0.5;work_at_weekend;1;0.99;[]
0.3803;0.5;neighborhood_variability_sender;1;0.99;[]
0.4294;0.5;neighborhood_variability_recipient;1;0.99;[]
0.4824;0.5;neighborhood_variability_all;1;0.99;[]
0.5027;0.4;in_degree;1;0.7;[]
0.4904;0.4;out_degree;1;0.7;[]
0.5776;0.4;betweenness;1;0.7;[]
0.5380;0.4;closeness;1;0.7;[]
0.4264;0.4;eigenvector;1;0.7;[]
0.3690;0.4;clustering_coeff;1;0.7;[]
0.5632;0.4;pagerank;1;0.7;[]
0.4170;0.4;hubs;1;0.7;[]
0.5413;0.4;authorities;1;0.7;[]
0.4504;0.4;max_clique;1;0.7;[]
0.5027;0.4;cliques_count;1;0.7;[]
0.5182;0.4;work_at_weekend;1;0.7;[]
0.5413;0.4;neighborhood_variability_sender;1;0.7;[]
0.4075;0.4;neighborhood_variability_recipient;1;0.7;[]
0.5413;0.4;neighborhood_variability_all;1;0.7;[]
0.5027;0.4;in_degree;1;0.8;[]
0.4904;0.4;out_degree;1;0.8;[]
0.5776;0.4;betweenness;1;0.8;[]
0.5380;0.4;closeness;1;0.8;[]
0.4264;0.4;eigenvector;1;0.8;[]
0.3765;0.4;clustering_coeff;1;0.8;[]
0.5490;0.4;pagerank;1;0.8;[]
0.4170;0.4;hubs;1;0.8;[]
0.5413;0.4;authorities;1;0.8;[]
0.4504;0.4;max_clique;1;0.8;[]
0.5027;0.4;cliques_count;1;0.8;[]
0.5182;0.4;work_at_weekend;1;0.8;[]
0.5413;0.4;neighborhood_variability_sender;1;0.8;[]
0.4264;0.4;neighborhood_variability_recipient;1;0.8;[]
0.5413;0.4;neighborhood_variability_all;1;0.8;[]
0.5027;0.4;in_degree;1;0.9;[]
0.4904;0.4;out_degree;1;0.9;[]
0.5776;0.4;betweenness;1;0.9;[]
0.5076;0.4;closeness;1;0.9;[]
0.4264;0.4;eigenvector;1;0.9;[]
0.3765;0.4;clustering_coeff;1;0.9;[]
0.5490;0.4;pagerank;1;0.9;[]
0.4170;0.4;hubs;1;0.9;[]
0.5413;0.4;authorities;1;0.9;[]
0.4170;0.4;max_clique;1;0.9;[]
0.4614;0.4;cliques_count;1;0.9;[]
0.5182;0.4;work_at_weekend;1;0.9;[]
0.5413;0.4;neighborhood_variability_sender;1;0.9;[]
0.4264;0.4;neighborhood_variability_recipient;1;0.9;[]
0.5413;0.4;neighborhood_variability_all;1;0.9;[]
0.4170;0.4;in_degree;1;0.99;[]
0.3765;0.4;out_degree;1;0.99;[]
0.5776;0.4;betweenness;1;0.99;[]
0.5076;0.4;closeness;1;0.99;[]
0.4264;0.4;eigenvector;1;0.99;[]
0.3765;0.4;clustering_coeff;1;0.99;[]
0.5490;0.4;pagerank;1;0.99;[]
0.4170;0.4;hubs;1;0.99;[]
0.5027;0.4;authorities;1;0.99;[]
0.4264;0.4;max_clique;1;0.99;[]
0.4170;0.4;cliques_count;1;0.99;[]
0.5182;0.4;work_at_weekend;1;0.99;[]
0.5413;0.4;neighborhood_variability_sender;1;0.99;[]
0.4264;0.4;neighborhood_variability_recipient;1;0.99;[]
0.5413;0.4;neighborhood_variability_all;1;0.99;[]
0.4490;0.3;in_degree;1;0.7;[]
0.3636;0.3;out_degree;1;0.7;[]
0.5188;0.3;betweenness;1;0.7;[]
0.4457;0.3;closeness;1;0.7;[]
0.3953;0.3;eigenvector;1;0.7;[]
0.3762;0.3;clustering_coeff;1;0.7;[]
0.5935;0.3;pagerank;1;0.7;[]
0.4490;0.3;hubs;1;0.7;[]
0.4108;0.3;authorities;1;0.7;[]
0.4185;0.3;max_clique;1;0.7;[]
0.4490;0.3;cliques_count;1;0.7;[]
